Exemption Types and How They are Applied,,,,,
,,,,,
,Mun GL,Ed GL,Releveant Fields from 411EXP ,,
Approved (VEPC) Exemptions,subtract,subtract,VEPC_HS,VEPC_NR,
Approved TIFs,no adjustment,subtract,TIF_HS,TIF_NR,
Grandfathered Exemptions,subtract,subtract,GRNF_HS,GRNF_NR,
Non-Approved (Voted) Exemptions,subtract,no adjustment,NAPV_HS,NAPV_NR,
Municipal Contracts (Owner Pays Ed Tax),subtract,no adjustment,PAID_HS,PAID_NR,
Partial-Statutory Exemptions,subtract,subtract,PST_HS,PST_NR,
"Special Exemptions (Ski Lifts, Qualified Housing, etc)",no adjustment,subtract,SPX_HS,SPX_NR,
Current Use Exempt Reduction,subtract,subtract,USEV_HS,USEV_NR,
Veteran Exemptions,subtract,subtract,VET_HS,VET_NR,VET_MU
PVR-Applied Exemptions - Municipal Only,subtract,no adjustment,N/A,,
PVR-Applied Exemptions - Education Only,no adjustment,subtract,internal to PVR - 32 VSA 5412,,
PVR-Applied Exemptions - Municipal/Education,subtract,subtract,N/A,,
