YEAR,SCHOOLTAXID,SPAN,PARCID,EXPCODE_SPEC,EXPCODE_STND,OWNER1,CAT411,DESC,VOTDATE,STARTDATE,ENDDATE,STATUTE,FULLVAL,EXMP_HS,EXMP_NR,TAXVAL,REALVALTYPE,TNSNEMRC,TNSTATUTE,PACTINACT
2026,185,588-185-13814,13814,,6,CHURCH OF OUR SAVIOR,15,CHURCH HOUSE AND LAND,,,,,1844800,0,0,0,A,N,9) 32 VSA § 3802(4): 3832(2),A
2026,185,588-185-12351,12351,,6,CHURCH OF OUR SAVIOUR,14,CHURCH LAND,,,,,65000,0,0,0,A,N,9) 32 VSA § 3802(4): 3832(2),A
2026,185,588-185-13212,13212,,6,CHURCH OF OUR SAVIOUR,12,VACANT LAND: CHURCH LAND USED FOR CHURCH,,,,,425500,0,0,0,A,N,9) 32 VSA § 3802(4): 3832(2),A
2026,185,588-185-11423,11423,,6,KILLINGTON MOUNTAIN SCHOOL INC,13,PRIVATE SCHOOL,,,,,3461700,0,0,0,A,N,10) 32 VSA § 3802(4) 3800(b),A
2026,185,588-185-11424,11424,,6,KILLINGTON MOUNTAIN SCHOOL INC,7,PRIVATE SCHOOL PART OF KMS,,,,,1300600,0,0,0,A,N,10) 32 VSA § 3802(4) 3800(b),A
2026,185,588-185-11427,11427,,6,KILLINGTON MOUNTAIN SCHOOL INC,1,One Family (< 6 acres),,,,,690000,0,0,0,A,N,10) 32 VSA § 3802(4) 3800(b),A
2026,185,588-185-13437,13437,3,,KILLINGTON-PICO SKI RESORT PARTNERS LLC,7,LIFTS / SNOWMAKING,,,,,30492770,0,30492770,0, ,T,,A
2026,185,588-185-13440,13440,3,,KILLINGTON-PICO SKI RESORT PARTNERS LLC,7,PICO LIFTS / SNOWMAKING,,,,,12625570,0,12625570,0, ,T,,A
2026,185,588-185-11083,11083,,6,SHERBURNE FIRE DISTRICT 1,7,SEWAGE TREATMENT PLANT,,,,,184300,0,0,0,A,N,31) 24 VSA § 3683,A
2026,185,588-185-11102,11102,,6,SHERBURNE FIRE DISTRICT 1,15,VACANT LAND ALONG ROARING BRK & OTTAUQUE,,,,,11200,0,0,0,A,N,31) 24 VSA § 3683,A
2026,185,588-185-11203,11203,,6,SHERBURNE FIRE DISTRICT 1,11,SEWER TREATMENT PROPERTY,,,,,15500,0,0,0,A,N,31) 24 VSA § 3683,A
2026,185,588-185-10267,10267,,6,STATE OF VERMONT,15,Vacant Residential,,,,,2600,0,0,0,A,S,2) 32 VSA § 3802(1),A
2026,185,588-185-11644,11644,,6,STATE OF VERMONT,14,WOODLANDS INCLUDING RIDGETOPS,,,,,1201900,0,0,0,A,S,2) 32 VSA § 3802(1),A
2026,185,588-185-11645,11645,,6,STATE OF VERMONT,14,WOODLANDS,,,,,689800,0,0,0,A,S,2) 32 VSA § 3802(1),A
2026,185,588-185-10164,10164,,6,TOWN OF KILLINGTON,13,PART OF GMN GOLF COURSE,,,,,25100,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-10168,10168,,6,TOWN OF KILLINGTON,13,HOLES 4 & 5 GMN GOLF COURSE,,,,,348500,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-10169,10169,,6,TOWN OF KILLINGTON,13,HOLES 367 & PART OF CLUBHOUSE--GMNGC,,,,,481100,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-10171,10171,,6,TOWN OF KILLINGTON,7,HOLES 1289101112 & RANGE - GMNGC,,,,,391100,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-11029,11029,,6,TOWN OF KILLINGTON,14,WOODLANDS,,,,,256600,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-11120,11120,,6,TOWN OF KILLINGTON,15,LAND--UNBUILDABLE,,,,,1300,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13142,13142,,6,TOWN OF KILLINGTON,12,TOWN OFFICE BUILDING & LAND,,,,,460600,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13148,13148,,6,TOWN OF KILLINGTON,12,POOL POOLHOUSE FIELDS TENNIS & B-BALL,,,,,609400,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13152,13152,,6,TOWN OF KILLINGTON,12,TEEN CENTER (FORMER LIBRARY),,,,,150300,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13153,13153,,6,TOWN OF KILLINGTON,12,TRANSFER STATION & LAND,,,,,6400,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13154,13154,,6,TOWN OF KILLINGTON,12,TOWN GARAGE & LAND,,,,,722500,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13164,13164,,6,TOWN OF KILLINGTON,12,WELCOME SIGN AT KILLINGTON RD & RTE 4,,,,,16800,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13180,13180,,6,TOWN OF KILLINGTON,7,FIRE STATION #2,,,,,101200,0,0,0,A,N,7) 32 VSA § 3802(4):3832(2),A
2026,185,588-185-13328,13328,,6,TOWN OF KILLINGTON,12,TOWN LIBRARY & BALL FIELDS,,,,,1529800,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13675,13675,,6,TOWN OF KILLINGTON,14,RECREATION LANDS ALONG TAYLOR BROOK,,,,,26500,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13805,13805,,6,TOWN OF KILLINGTON,7,FIRE DEPARTMENT BLDG,,,,,650500,0,0,0,A,N,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-13915,13915,,7,TOWN OF KILLINGTON,7,COMMERCIAL BLDG,,,,,1816200,0,1201550,614650, ,T,8) 32 VSA § 5401(10) (F),A
2026,185,588-185-10118,10118,,6,USA,14,TIMBERLAND,,,,,38600,0,0,0,A,N,1) 32 VSA § 3802(1),A
2026,185,588-185-13390,13390,,6,USA,14,WOODLANDS,,,,,157500,0,0,0,A,N,1) 32 VSA § 3802(1),A
2026,185,588-185-13673,13673,,6,USA,14,WOODLANDS,,,,,693900,0,0,0,A,N,1) 32 VSA § 3802(1),A
