TAXYEAR,SCHCODE,TIFID,TZONE,SPAN,SUBSPAN,PARCID,PACTIVE,TCOMM,OWNER1,DESCPROP,LOCAPROP,CATCODE,HSDECL,ACRES,OBACRE,CVHS,CVNR,BVHS,BVNR,INCHS,INCNR,MUNCV,MUNBV,MUNINC,P_BUILDIN2,P_EQPM2,P_INV2,P_LANDUSE2,P_RLANDUSE2,p_minv2 ,p_meqpm2 
2026,185,1,1,588-185-13193,,13193,2,Inactive parcel.,KILLINGTON / PICO RESORT PARTNERS LLC,GOLF COURSE,,15,N,26.2,0,0,976000,0,0,0,0,976000,0,0,,,,,,,
2026,185,1,1,588-185-13195,,13195,2,Inactive parcel.,KILLINGTON / PICO RESORT PARTNERS LLC,GOLF COURSE PARCEL,,15,N,1.5,0,0,60000,0,0,0,0,60000,0,0,,,,,,,
2026,185,1,1,588-185-11379,,11379,2,Inactive parcel.,KILLINGTON / PICO RESORT PARTNERS LLC,PART OF GOLF COURSE,,15,N,1.33,0,0,53200,0,0,0,0,53200,0,0,,,,,,,
2026,185,1,1,588-185-13197,,13197,2,Inactive parcel.,KILLINGTON / PICO RESORT PARTNERS LLC,PART OF GOLF COURSE,,15,N,1.2,0,0,48000,0,0,0,0,48000,0,0,,,,,,,
2026,185,1,1,588-185-13198,,13198,2,Inactive parcel.,KILLINGTON / PICO RESORT PARTNERS LLC,PART OF GOLF COURSE,,15,N,2.9,0,0,116000,0,0,0,0,116000,0,0,,,,,,,
2026,185,1,1,588-185-13199,,13199,2,Inactive parcel.,KILLINGTON / PICO RESORT PARTNERS LLC,PART OF GOLF COURSE,,15,N,6.9,0,0,276000,0,0,0,0,276000,0,0,,,,,,,
2026,185,1,1,588-185-13210,,13210,2,Inactive parcel.,KILLINGTON / PICO RESORT PARTNERS LLC,LAND ABUTTING GOLF COURSE,KILLINGTON ROAD,14,N,28.98,0,0,2608200,0,0,0,0,2608200,0,0,,,,,,,
2026,185,1,1,588-185-13630,,13630,2,Inactive parcel.,GG KILLINGTON LP,PART OF VILLAGE PLAN,VALE ROAD,7,N,6.97,0,0,4345400,0,0,0,0,4345400,0,0,,,,,,,
2026,185,1,1,588-185-13629,,13629,2,Inactive parcel.,GG KILLINGTON LP,ADDED TO SNOWDON GLADES,VALE ROAD,7,N,2.45,0,0,52500,0,0,0,0,52500,0,0,,,,,,,
2026,185,1,1,588-185-13488,,13488,2,Inactive parcel.,GG KILLINGTON LP,PART OF VILLAGE PLAN,EAST MOUNTAIN ROAD,15,N,2.93,0,0,0,0,0,0,0,0,0,0,,,,,,,
