AWS_DIRECTORY,DIRECTORY,TYPE,SOURCE_FILE,JSON_FILENAME,CONTENTS_DESCRIPTION_ESTIMATE,FIELDS_CSV
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_CATEG.CSV,EXP_CATEG_RES.json,Category dictionary and crosswalk by fac_id,"fac_id,lev_no,lev_name,lin_val"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_COMPCLUD.CSV,EXP_COMPCLUD_RES.json,Comparables Set Include by parcel_id; mostly empty,"csetno,parcel_id,include"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_COMPFACT.CSV,EXP_COMPFACT_RES.json,Comparables Weighting and Adjustments by fac_id,"csetno,fac_id,weight,adjustment,printseq,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_COMPSET.CSV,EXP_COMPSET_RES.json,Comparables Set Parameters,"csetno,cdesc,usesoldx,subjiscomp,indic2nd5c,nocomprep,location,sale_price,assessvalu,estmktvalu,adjsp1stc,madjsalep,meanwght,powerofdif,nooptimize,timestamp,identfy2,subjdesc"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_COSTABLS.CSV,EXP_COSTABLS_RES.json,Cost Tables,"tablenum,pagenum,rownum,label,col01,col02,col03,col04,col05,col06,col07,col08,col09,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_COSTEQU.CSV,EXP_COSTEQU_RES.json,Cost Equations,"nline,order,cname,cequat,cresult,nprint,llookup,lchild,childgrp,lprint,childtab,group,ctable,cpage,crow,ccol,tr,cformat,cerrhand,lround,nrndamt,lrenum,templine,temporder"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_COSTFACT.CSV,EXP_COSTFACT_RES.json,Cost Factors,"ctype,cfromtab,cfromfld,ctotab,ctofld,csetno,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_COSTSET.CSV,EXP_COSTSET_RES.json,Cost Engine Setup,"csetno,cdesc,skpprt,sale_price,assessvalu,estmktvalu,adjsp1stc,madjsalep,meanwght,powerofdif,nooptimize,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_CT_LIST.CSV,EXP_CT_LIST_RES.json,Cost Adjustments List,"tabnum,tabdesc,pagdesc,rowdesc,coldesc,pagefactor,colfactor,rowfactor,tablfactor"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_DATADICT.CSV,EXP_DATADICT_RES.json,Data Dictionary With Table Listing,"selected,fac_id,clabel,field_name,field_type,field_len,field_dec,categ,max_value,min_value,table_id,cframe_nam,cpageid,lallow_del,ctext,cfacorder,spinerid,browfield,broworder,calc_field,head_width,rpt_sel,resrvd,apex,hh,inet"
,res,Residential,EXP_ERRPROC.CSV,,Error List,",prog,line,rec,fac_id,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_EXTWALL.CSV,EXP_EXTWALL_RES.json,Exterior Wall Details By parcel_id and section_id,"parcel_id,secid,extwallid,type,percent"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_FACEQUIV.CSV,EXP_FACEQUIV_RES.json,Facilities Equivalents List,"fac_var,fac_id,lchild,newtabl"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_FEATURES.CSV,EXP_FEATURES_RES.json,Features Index by parcel_id,"parcel_id,secid,featurid,type,name,quantity,grade,uom,rate"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_FLOOR.CSV,EXP_FLOOR_RES.json,Floor Type and Percent by parcel_id,"parcel_id,secid,floorid,type,percent"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_GARAGE.CSV,EXP_GARAGE_RES.json,Garage Type and Details by parcel_id,"parcel_id,secid,garageid,type,area,siding,finish,fin_sqft,floor,roof"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_HEAT.CSV,EXP_HEAT_RES.json,Heating Type and Percent by parcel_id,"parcel_id,secid,heatid,type,percent"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_IMPROVE.CSV,EXP_IMPROVE_RES.json,Improvements index by parcel_id,"type,units,rate,total,parcel_id,secid,improveid"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_INSPECT.CSV,EXP_INSPECT_RES.json,Inspection details by parcel_id,"parcel_id,insp_id,insp_date,insp_by,reason,itype,istatus,iresult,ireason,iapptreq,iapptby,iapptdate,iappttime"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/res/,res,Residential,EXP_LAND.CSV,EXP_LAND_RES.json,Land details by parcel_id,"parcel_id,landid,type,uom,area,frontage,depth,rate,grade,calc_meth,land_tot,cu_value,land_value"
