EXPCODE_SPEC,EXPCODE_STND,EXPDESC,Notes
,,,
NULL,1,Approved VEPC,
NULL,2,Approved TIF,
NULL,3,Grandfathered,
NULL,4,Non-Approved (Voted),
NULL,5,Municipal Contract (Owner Pays),
NULL,,DB Admin Use Only (Statutory Class ID),
NULL,7,Partial-Statutory,
NULL,6,Statutory,
NULL,,Statutory-Grange Hall,
NULL,,Statutory-Municipal Property,
NULL,,Statutory-Religious,
NULL,,Statutory-State Property,
1,NULL,Act 181,starting with GL 2026
2,NULL,Snow Making Equipment,
3,NULL,Ski Lifts / Snow Making Equip,
4,NULL,Whey Tanks,
5,NULL,Power Plant or Const In Progress,
6,NULL,Qualified Housing Units,
7,NULL,Solar Plant,
8,NULL,Wind Plant,
9,NULL,Court Ordered,
16,,Act 181/Qualified,starting with GL 2026
